to,total_tp,total_fp,total_fn,tpr,fdr
Alcohol,16,17,29,0.356,0.515
Anxiety,27,18,36,0.429,0.4
CCI,26,14,46,0.361,0.35
Catastrophizing,8,29,10,0.444,0.784
Depression,40,19,32,0.556,0.322
Education,4,15,5,0.444,0.789
Fear avoidance,6,29,12,0.333,0.829
Financial level,20,12,16,0.556,0.375
Obesity,29,14,16,0.644,0.326
PEG,47,7,52,0.475,0.13
Sleep disturbance,24,22,21,0.533,0.478
Smoking,26,10,28,0.481,0.278
