from,total_tp,total_fp,total_fn,tpr,fdr
Age,59,6,40,0.596,0.092
Alcohol,17,17,19,0.472,0.5
Anxiety,21,7,24,0.467,0.25
CCI,0,25,0,NA,1
Catastrophizing,14,18,13,0.519,0.562
Depression,20,30,16,0.556,0.6
Education,47,9,25,0.653,0.161
Fear avoidance,18,16,9,0.667,0.471
Financial level,25,24,20,0.556,0.49
Obesity,25,19,11,0.694,0.432
Sex,49,0,59,0.454,0
Sleep disturbance,12,15,24,0.333,0.556
Smoking,6,54,3,0.667,0.9
